id,name,email,contact,dob,sex,remarks,address,nric,membership_type_id,created_at,updated_at,created_by,card_number
0,WALK-IN CUSTOMER,,,,,,,,,,,,
1,ANGIE WU EN QI,angie.wuenqi@gmail.com,91234567,8/15/1990,Female,"Dry skin, sensitive to fragrances","Blk 210, Toa Payoh Central, #05-112, Singapore 310210",S90XXXXXA,1,2024-08-11 12:46:24+00,2024-08-11 12:46:24+00,14,1508A
2,ARKAR PHYO,arkar.phyo@yahoo.com,98765432,4/23/1985,Male,No remarks,"Blk 50, Havelock Road, #18-03, Singapore 160050",S85XXXXXB,1,2024-02-22 11:21:07+00,2024-02-22 11:21:07+00,14,2304A
3,AUNG MYO THANT,aungmyothant@hotmail.com,87654321,11/9/2002,Male,"Acne-prone skin, needs gentle products","Blk 73, Bedok North Street 4, #02-287, Singapore 460073",T02XXXXXC,1,2024-09-11 12:45:20+00,2024-09-11 12:45:20+00,14,0911A
4,AUSTIN CHUA ZHI AN,austin.chuazhi.an@gmail.com,93334455,3/17/1979,Male,"Sensitive skin, avoid strong chemical products","Blk 3, Ang Mo Kio Avenue 6, #09-55, Singapore 560003",S79XXXXXD,1,2024-11-25 11:37:55+00,2024-11-25 11:37:55+00,14,1703A
5,JESSLYN TEO WEN WEN,jesslyn.teowenwen@yahoo.com,98887766,7/22/1995,Female,Allergic to certain essential oils,"Blk 987, Bukit Timah Road, #01-00, Singapore 589608",S95XXXXXE,1,2023-07-25 03:27:41+00,2023-07-25 03:27:41+00,14,2207J
6,MIN THIT KHINE,minthitkhine@hotmail.com,85556677,12/5/1967,Male,"Oily T-zone, combination skin","Blk 416, Clementi Avenue 1, #11-42, Singapore 120416",S67XXXXXF,1,2024-11-05 02:51:53+00,2024-11-05 02:51:53+00,14,0512M
7,MOHAMED DANI BIN MOHAMED KASIM,mohamed.danikasim@gmail.com,92221133,6/14/1980,Male,No remarks,"Blk 63, Marine Drive, #07-156, Singapore 440063",S80XXXXXG,1,2024-01-18 02:42:31+00,2024-01-18 02:42:31+00,14,1406M
8,NANDAR PHYO KHAING,nandar.phyokhaing@yahoo.com,84447788,9/1/2005,Male,"Rosacea on cheeks, needs calming products","Blk 15, Hougang Avenue 3, #03-21, Singapore 530015",T05XXXXXH,1,2024-02-21 11:32:08+00,2024-02-21 11:32:08+00,14,0109N
10,SWAN YEE HTET,swanyeehtet@gmail.com,89998877,5/20/1998,Male,"Allergic to nuts, avoid nut-based oils","Blk 301, Woodlands Street 31, #04-333, Singapore 730301",S98XXXXXJ,1,2023-10-22 12:39:04+00,2023-10-22 12:39:04+00,14,2005S
12,WAI PHYO AUNG,waiphyoaung@hotmail.com,98886655,4/12/1963,Male,No remarks,"Blk 505, Yishun Street 51, #12-456, Singapore 760505",S63XXXXXL,1,2024-05-13 09:39:06+00,2024-05-13 09:39:06+00,14,1204W
13,YE MYAT THWIN,yemyatthwin@gmail.com,97775544,8/8/2003,Male,"Hyperpigmentation on forehead, requires brightening","Blk 8, Dover Crescent, #06-12, Singapore 130008",T03XXXXXM,1,2023-08-10 10:05:14+00,2023-08-10 10:05:14+00,14,0808Y
